setting,method,target_mse_mean,target_mse_ci_low,target_mse_ci_high,target_mse_std,ess_mean,ess_std,excess_risk_mean
A,single_source_unweighted_LS,0.07057507336788019,0.054621037372689654,0.08652910936307072,0.0128489156633922,1199.999999999999,0.0,-0.0016054073998969978
A,oracle_best_source_retrospective,0.0721804807677772,0.06514652734262959,0.0792144341929248,0.00566494110751635,20.00807353269245,6.671339232182598,0.0
A,stability_aware_composite,0.08105951957853767,0.06541049987908387,0.09670853927799147,0.012603264427487826,11.708389149793998,7.072286200278053,0.008879038810760478
A,pooled_source_IWLS,0.08948450914097343,0.07293868607503572,0.10603033220691115,0.01332552372451283,751.5736669750094,393.0840649510621,0.017304028373196244
A,mixed_shift_gate_plus_composite,0.09105623606300542,0.060354786281073006,0.12175768584493783,0.02472605296307716,16.054749132773587,6.111541436921195,0.018875755295228225
A,random_source_plus_IWLS,0.10192646291955407,0.05780088749093075,0.14605203834817737,0.03553745255758157,13.300399958660247,7.2181568572042405,0.029745982151776883
A,wasserstein_nearest_source_plus_IWLS,0.11930361150456545,0.03600692376748062,0.2026002992416503,0.06708472489947749,27.825022160132942,11.915533420765854,0.047123130736788255
A,mmd_nearest_source_plus_IWLS,0.12769553795994237,0.04976658688041645,0.20562448903946828,0.06276170622025021,26.719179369362354,10.658839050387092,0.055515057192165186
B,oracle_best_source_retrospective,0.13565495339520955,0.11145193352097961,0.15985797326943949,0.01949240689046546,273.84860358720164,515.8893166375456,0.0
B,stability_aware_composite,0.14711573053665478,0.11890229364389533,0.17532916742941423,0.022722279886969437,31.792875811090816,53.03706488951396,0.011460777141445217
B,single_source_unweighted_LS,0.14967206229749794,0.0886052142291883,0.21073891036580758,0.04918145984473347,1199.999999999999,0.0,0.014017108902288375
B,pooled_source_IWLS,0.17012985981631476,0.14723045727454576,0.19302926235808376,0.01844251148047789,137.8079598530418,59.551583399868065,0.03447490642110521
B,random_source_plus_IWLS,0.17916405361094392,0.07952167973901132,0.27880642748287654,0.08024906417201341,244.07625559869066,530.1500375100877,0.043509100215734384
B,mixed_shift_gate_plus_composite,0.21593603236974354,0.09083659565114002,0.34103546908834703,0.10075144072758561,10.375005364186416,4.041251631794991,0.08028107897453399
B,wasserstein_nearest_source_plus_IWLS,0.2654600131580064,0.07616281543015577,0.45475721088585697,0.15245444661494154,10.93087436035701,5.2324682679859515,0.12980505976279683
B,mmd_nearest_source_plus_IWLS,0.32506896305737326,0.12398048588691069,0.5261574402278358,0.16195079946053395,9.138858262897298,2.9170927373704365,0.18941400966216368
C,oracle_best_source_retrospective,0.20475398473860204,0.1846581278626853,0.2248498416145188,0.016184617501182396,1135.5364143835159,142.10328847753718,0.0
C,stability_aware_composite,0.21612556448767858,0.20581547861343982,0.22643565036191735,0.008303442710067865,117.70863066779607,133.60796962012034,0.011371579749076533
C,single_source_unweighted_LS,0.27915479682474664,0.09262831461493645,0.4656812790345568,0.15022299307996861,1199.999999999999,0.0,0.0744008120861446
C,pooled_source_IWLS,0.29200278625800713,0.21038725689478105,0.3736183156212332,0.06573076893692179,50.03867935115543,8.683999921745196,0.0872488015194051
C,mixed_shift_gate_plus_composite,0.30354035106370675,0.13000105247614674,0.47707964965126676,0.13976349385873169,110.85490282980625,139.90924414915992,0.09878636632510465
C,random_source_plus_IWLS,0.30563159073047397,0.023137505661111835,0.5881256757998361,0.2275125037675476,664.3009954171239,602.0426534143564,0.10087760599187186
C,wasserstein_nearest_source_plus_IWLS,0.3910150477563587,0.08097553328978985,0.7010545622229276,0.249696789884448,25.750147533237357,26.658100028223956,0.18626106301775663
C,mmd_nearest_source_plus_IWLS,0.5048682856839278,0.14932578684043007,0.8604107845274256,0.28634356746900796,15.599150865878405,20.477075595352982,0.30011430094532576
